iter	Passed	Remaining
412	3841	5460
413	3851	5452
414	3862	5445
415	3873	5438
416	3885	5431
417	3896	5425
418	3906	5417
419	3917	5409
420	3928	5402
421	3939	5395
422	3951	5389
423	3962	5383
424	3973	5376
425	3985	5369
426	3995	5361
427	4006	5354
428	4017	5346
429	4027	5338
430	4037	5330
431	4048	5322
432	4058	5314
433	4069	5306
434	4079	5298
435	4091	5292
436	4102	5285
437	4116	5281
438	4127	5274
439	4137	5265
440	4148	5258
441	4158	5250
442	4169	5242
443	4180	5234
444	4192	5228
445	4204	5222
446	4214	5213
447	4225	5205
448	4235	5197
449	4245	5189
450	4255	5179
451	4266	5172
452	4276	5163
453	4285	5154
454	4296	5146
455	4306	5138
456	4318	5130
457	4328	5122
458	4339	5114
459	4349	5105
460	4360	5097
461	4370	5089
462	4380	5080
463	4391	5072
464	4402	5065
465	4413	5057
466	4425	5050
467	4435	5042
468	4446	5034
469	4456	5025
470	4465	5015
471	4476	5007
472	4486	4999
473	4497	4990
474	4508	4982
475	4519	4975
476	4529	4965
477	4539	4956
478	4549	4948
479	4559	4939
480	4570	4931
481	4580	4922
482	4592	4915
483	4603	4907
484	4614	4899
485	4625	4892
486	4636	4883
487	4646	4874
488	4656	4865
489	4666	4857
490	4677	4848
491	4688	4841
492	4698	4831
493	4708	4822
494	4718	4813
495	4728	4804
496	4739	4796
497	4750	4788
498	4761	4780
499	4773	4773
500	4785	4766
501	4800	4762
502	4813	4756
503	4826	4750
504	4839	4743
505	4851	4735
506	4863	4729
507	4876	4723
508	4889	4716
509	4902	4710
510	4915	4703
511	4929	4698
512	4943	4692
513	4956	4686
514	4969	4679
515	4981	4672
516	4990	4662
517	5003	4655
518	5014	4647
519	5025	4639
520	5036	4630
521	5049	4623
522	5060	4615
523	5072	4607
524	5082	4598
525	5095	4591
526	5107	4583
527	5118	4575
528	5130	4567
529	5140	4558
530	5151	4550
531	5162	4541
532	5175	4534
533	5186	4526
534	5197	4517
535	5208	4508
536	5217	4498
537	5227	4488
538	5236	4478
539	5246	4468
540	5256	4459
541	5265	4449
542	5274	4438
543	5282	4428
544	5292	4418
545	5300	4407
546	5310	4397
547	5321	4388
548	5332	4380
549	5341	4370
550	5351	4360
551	5359	4349
552	5369	4340
553	5379	4330
554	5388	4320
555	5398	4310
556	5408	4301
557	5418	4291
558	5429	4283
559	5440	4274
560	5451	4266
561	5462	4257
562	5478	4252
563	5489	4243
564	5500	4234
565	5511	4226
566	5522	4217
567	5534	4208
568	5544	4199
569	5555	4190
570	5567	4182
571	5578	4174
572	5589	4165
573	5600	4156
574	5612	4148
575	5623	4139
576	5633	4130
577	5644	4120
578	5655	4112
579	5665	4102
580	5676	4093
581	5688	4085
582	5699	4076
583	5710	4067
584	5722	4059
585	5733	4050
586	5744	4041
587	5755	4032
588	5766	4023
589	5776	4014
590	5787	4005
591	5798	3996
592	5810	3987
593	5822	3979
594	5837	3973
595	5848	3964
596	5860	3955
597	5871	3946
598	5882	3937
599	5892	3928
600	5902	3918
