iter	Passed	Remaining
414	3071	4330
415	3079	4322
416	3086	4315
417	3094	4308
418	3102	4301
419	3109	4293
420	3116	4286
421	3123	4278
422	3132	4272
423	3139	4264
424	3147	4258
425	3154	4250
426	3161	4242
427	3168	4234
428	3175	4226
429	3182	4218
430	3189	4210
431	3197	4203
432	3203	4195
433	3211	4187
434	3217	4179
435	3224	4171
436	3232	4164
437	3239	4156
438	3246	4149
439	3253	4141
440	3261	4134
441	3270	4128
442	3277	4121
443	3285	4114
444	3293	4107
445	3300	4100
446	3307	4091
447	3314	4083
448	3320	4074
449	3327	4066
450	3333	4058
451	3340	4050
452	3347	4041
453	3353	4033
454	3360	4025
455	3367	4016
456	3374	4009
457	3380	4000
458	3386	3991
459	3393	3983
460	3401	3976
461	3407	3968
462	3413	3959
463	3421	3951
464	3428	3944
465	3435	3936
466	3442	3929
467	3449	3921
468	3456	3913
469	3464	3906
470	3469	3897
471	3476	3888
472	3483	3880
473	3489	3872
474	3496	3864
475	3504	3857
476	3510	3848
477	3516	3840
478	3523	3831
479	3529	3823
480	3536	3815
481	3542	3806
482	3549	3799
483	3556	3791
484	3563	3783
485	3570	3776
486	3576	3767
487	3583	3759
488	3589	3751
489	3596	3743
490	3603	3735
491	3610	3727
492	3616	3719
493	3623	3711
494	3630	3703
495	3636	3695
496	3643	3687
497	3649	3679
498	3656	3670
499	3663	3663
500	3669	3654
501	3676	3646
502	3682	3638
503	3689	3631
504	3696	3622
505	3702	3614
506	3709	3606
507	3715	3598
508	3722	3590
509	3729	3582
510	3736	3575
511	3742	3567
512	3749	3559
513	3756	3551
514	3762	3543
515	3770	3536
516	3776	3528
517	3784	3521
518	3791	3513
519	3798	3506
520	3805	3499
521	3814	3492
522	3821	3485
523	3828	3477
524	3835	3470
525	3843	3463
526	3850	3455
527	3857	3448
528	3863	3440
529	3870	3432
530	3877	3424
531	3884	3417
532	3890	3409
533	3896	3400
534	3904	3393
535	3911	3385
536	3917	3377
537	3924	3370
538	3930	3361
539	3937	3354
540	3944	3346
541	3950	3338
542	3957	3330
543	3963	3322
544	3970	3314
545	3980	3309
546	3986	3301
547	3994	3294
548	4001	3287
549	4007	3279
550	4013	3270
551	4019	3262
552	4027	3255
553	4034	3247
554	4041	3240
555	4048	3232
556	4055	3225
557	4062	3218
558	4069	3210
559	4076	3202
560	4083	3195
561	4092	3189
562	4100	3183
563	4107	3175
564	4114	3167
565	4121	3160
566	4128	3153
567	4135	3145
568	4143	3138
569	4149	3130
570	4156	3122
571	4164	3116
572	4171	3108
573	4178	3101
574	4185	3093
575	4193	3086
576	4200	3079
577	4207	3071
578	4216	3065
579	4224	3058
580	4232	3052
581	4239	3045
582	4247	3038
583	4254	3030
584	4262	3024
585	4269	3016
586	4277	3009
587	4284	3001
588	4292	2995
589	4298	2987
590	4306	2980
591	4313	2972
592	4320	2965
593	4327	2958
594	4335	2950
595	4342	2943
596	4350	2936
597	4357	2929
598	4364	2921
599	4372	2914
600	4378	2906
601	4385	2899
602	4392	2891
603	4399	2884
604	4407	2877
605	4413	2869
606	4421	2862
607	4428	2854
608	4434	2847
609	4442	2840
610	4449	2832
611	4457	2825
612	4464	2818
613	4472	2811
614	4478	2803
615	4486	2796
616	4493	2789
617	4501	2782
618	4508	2775
619	4515	2767
620	4522	2760
621	4529	2752
622	4537	2745
623	4544	2738
624	4552	2731
625	4559	2724
626	4566	2716
627	4573	2709
628	4580	2701
629	4588	2694
630	4595	2687
631	4603	2680
632	4609	2672
633	4618	2666
634	4624	2658
635	4632	2651
636	4639	2643
637	4646	2636
638	4654	2629
639	4661	2622
640	4670	2615
641	4678	2608
642	4686	2602
643	4695	2595
644	4703	2588
645	4709	2580
646	4718	2574
647	4725	2566
648	4733	2560
649	4740	2552
