iter	RMSE
0	0.9308991725
1	0.9300256443
2	0.9291745115
3	0.9283542492
4	0.9274407062
5	0.9266052423
6	0.925816937
7	0.9250360352
8	0.9242333341
9	0.9234959135
10	0.9226959316
11	0.9219495841
12	0.9211845144
13	0.920440073
14	0.9197373833
15	0.9190031776
16	0.9183146377
17	0.917626477
18	0.9169776095
19	0.9162901949
20	0.9155849226
21	0.9148754114
22	0.9142435921
23	0.9136691994
24	0.9130645861
25	0.9124693305
26	0.9118719839
27	0.9112792145
28	0.9106218736
29	0.9100279669
30	0.9094649849
31	0.9089352216
32	0.9084442973
33	0.9078934154
34	0.907341363
35	0.9068339602
36	0.9063737092
37	0.905823467
38	0.9053575978
39	0.9048858136
40	0.9044287243
41	0.9038900367
42	0.9034302271
43	0.9029564362
44	0.9024706622
45	0.9019781375
46	0.9015004781
47	0.901053048
48	0.9006330575
49	0.9001763069
50	0.8997761811
51	0.899344149
52	0.8988651488
53	0.8984129543
54	0.8980141708
55	0.8976086806
56	0.8972153791
57	0.8967598749
58	0.8963840611
59	0.895997743
60	0.8956499539
61	0.8952994902
62	0.894920662
63	0.894538627
64	0.8941675694
65	0.8938357402
66	0.8934862494
67	0.8931407988
68	0.8927811919
69	0.8924841911
70	0.8921665959
71	0.8918235929
72	0.8915154691
73	0.8911452827
74	0.8908147986
75	0.890471503
76	0.8901563318
77	0.8898754265
78	0.8895762773
79	0.8892776494
80	0.8889584588
81	0.8886400536
82	0.8883670059
83	0.8880670681
84	0.8878233834
85	0.8875064993
86	0.8872281105
87	0.886954722
88	0.8866763874
89	0.8864257681
90	0.8861835337
91	0.8859347133
92	0.8856573389
93	0.8853938667
94	0.885165498
95	0.884955196
96	0.8846853678
97	0.8844205794
98	0.8841675087
99	0.883927753
100	0.88372109
101	0.8834663492
102	0.8832330412
103	0.8830009192
104	0.8827714816
105	0.8825184923
106	0.8823030027
107	0.8820882862
108	0.8818444185
109	0.8816251164
110	0.8814439005
111	0.8812602261
112	0.8810758643
113	0.8808630561
114	0.8806631139
115	0.8804587119
116	0.8803026052
117	0.8801263427
118	0.8799261949
119	0.8797230616
120	0.8794894078
121	0.8793041025
122	0.8791308598
123	0.8789088651
124	0.8786955154
125	0.8785232037
126	0.8783485113
127	0.8781665928
128	0.8780136261
129	0.8778219324
130	0.8776279785
131	0.8774501683
132	0.8772621959
133	0.8770897735
134	0.8769321073
135	0.8767596089
136	0.8766107481
137	0.8764416935
138	0.8762758367
139	0.8761131854
140	0.8759475607
141	0.8757931734
142	0.8756046229
143	0.875430319
144	0.8752629569
145	0.875120958
146	0.8749735064
147	0.8748037904
148	0.8746464997
149	0.8745013823
150	0.8743447456
151	0.8741799725
152	0.8740289491
153	0.8738629624
154	0.873727992
155	0.8735925163
156	0.8734264907
157	0.8732661882
158	0.873122551
159	0.872988994
160	0.8728451096
161	0.8727121955
162	0.8725964716
163	0.8724760581
164	0.8723329907
165	0.8722076864
166	0.8720789197
167	0.8719584488
168	0.8718483366
169	0.8717202977
170	0.871598816
171	0.8714677317
172	0.8713514467
173	0.8712300905
174	0.8710789949
175	0.8709643387
176	0.8708424368
177	0.8707357386
178	0.8706049797
179	0.8704936171
180	0.8703666108
181	0.8702213342
182	0.8701074798
183	0.8699920603
184	0.8698825495
185	0.8697879801
186	0.869669665
187	0.8695486663
188	0.8694307849
189	0.8693244601
190	0.869214379
191	0.8691126248
192	0.8689978873
193	0.8688805297
194	0.8687797876
195	0.8686979361
196	0.8685884577
197	0.8685002073
198	0.8684120985
199	0.8683026295
200	0.8682165757
201	0.8681007684
202	0.8680045602
203	0.8678827105
204	0.8677879013
205	0.8676928972
206	0.867568119
207	0.8674653368
208	0.8673713641
209	0.8672793167
210	0.8671882484
211	0.8670800606
212	0.8669756092
213	0.8668671743
214	0.866758
215	0.8666651234
216	0.8665694997
217	0.8664723169
218	0.866381728
219	0.8662982466
220	0.8662072331
221	0.8661212607
222	0.8660386409
223	0.8659424214
224	0.8658549126
225	0.865763658
226	0.8656594873
227	0.8655559867
228	0.8654780058
229	0.8654138267
230	0.86532924
231	0.8652397607
232	0.8651351071
233	0.8650533394
234	0.8649708054
235	0.864875326
236	0.8648120183
237	0.8647430009
238	0.8646698822
239	0.8645854657
240	0.864503593
241	0.8644189769
242	0.8643463219
243	0.8642590939
244	0.8641700324
245	0.8640923949
246	0.8640150762
247	0.8639477064
248	0.863892329
249	0.8638178764
250	0.8637558796
251	0.8636822876
252	0.863615302
253	0.863534149
254	0.8634617338
255	0.8633767708
256	0.8632887148
257	0.8631950933
258	0.8631146916
259	0.8630425114
260	0.8629688937
261	0.8628845837
262	0.8628089882
263	0.8627260441
264	0.8626545098
265	0.8625927774
266	0.8625212508
267	0.8624449423
268	0.8623682843
269	0.8622929622
270	0.8622139442
271	0.8621325876
272	0.8620621867
273	0.8619933101
274	0.8619118518
275	0.8618396284
276	0.861755676
277	0.8616872952
278	0.861609935
279	0.861537365
280	0.8614760238
281	0.8614006587
282	0.861323166
283	0.8612546104
284	0.8611932006
285	0.8611271788
286	0.861054125
287	0.8609917916
288	0.8609282929
289	0.8608655893
290	0.8608088529
291	0.8607442661
292	0.8606772495
293	0.8606186776
294	0.8605372217
295	0.860477426
296	0.8604055241
297	0.8603270003
298	0.8602691612
299	0.8602057289
300	0.8601378782
301	0.8600809358
302	0.860022155
303	0.8599618448
304	0.8598987267
305	0.859844723
306	0.8597919054
307	0.8597556327
308	0.859698542
309	0.8596349362
310	0.8595780938
311	0.8595183514
312	0.8594561945
313	0.8594003882
314	0.8593411312
315	0.8592792163
316	0.8592138198
317	0.8591447053
318	0.8590849211
319	0.8590204454
320	0.8589634668
321	0.8589101667
322	0.8588471487
323	0.8587964216
324	0.8587311798
325	0.8586799596
326	0.8586113677
327	0.8585286607
328	0.8584652656
329	0.8584089513
330	0.8583621145
331	0.8583068925
332	0.8582508987
333	0.8581979789
334	0.8581398366
335	0.8580878394
336	0.8580386824
337	0.8579954158
338	0.8579423073
339	0.8578887394
340	0.8578440254
341	0.8578074118
342	0.8577410889
343	0.8576840633
344	0.8576309513
345	0.8575864999
346	0.8575121954
347	0.8574642205
348	0.8574009354
349	0.8573650306
350	0.8573157903
351	0.8572742949
352	0.8572195468
353	0.857178218
354	0.8571215442
355	0.8570734969
356	0.8570209687
357	0.8569787858
358	0.8569239978
359	0.8568743729
360	0.8568371563
361	0.8567947624
362	0.8567422891
363	0.8566934659
364	0.8566477941
365	0.8565935621
366	0.8565440919
367	0.8564871754
368	0.8564299809
369	0.8563857333
370	0.8563378411
371	0.856289047
372	0.8562489342
373	0.8561905067
374	0.8561539447
375	0.8561026036
376	0.8560454107
377	0.8560032696
378	0.8559571688
379	0.8559095936
380	0.8558613432
381	0.8558215469
382	0.8557872676
383	0.8557413615
384	0.8557030996
385	0.8556618232
386	0.8556113181
387	0.8555757024
388	0.8555183591
389	0.8554843047
390	0.8554377954
391	0.8553870493
392	0.8553406664
393	0.8552911833
394	0.8552473506
395	0.8552086138
396	0.8551672146
397	0.8551182285
398	0.8550818365
399	0.8550399942
400	0.8550045063
401	0.8549529743
402	0.8549125907
403	0.8548588375
404	0.8548110721
405	0.8547752743
406	0.8547263253
407	0.8546961068
408	0.8546507259
409	0.8546175525
410	0.854566848
411	0.8545062603
412	0.8544679315
413	0.8544276531
414	0.8543745601
415	0.8543310125
416	0.8542850662
417	0.8542315949
418	0.8542048613
419	0.8541687234
420	0.854134545
421	0.8540900423
422	0.8540378323
423	0.8540006278
424	0.8539619343
425	0.8539079276
426	0.8538795442
427	0.8538411879
428	0.8537931871
429	0.8537512198
430	0.8537091516
431	0.8536691863
432	0.853625538
433	0.8535859021
434	0.853547649
435	0.8535034454
436	0.8534659931
437	0.8534081087
438	0.853359841
439	0.8533216515
440	0.8532856711
441	0.8532373203
442	0.8531964086
443	0.8531661903
444	0.8531091528
445	0.8530750188
446	0.8530461783
447	0.85299464
448	0.8529563718
449	0.8529169034
450	0.852884697
451	0.8528575419
452	0.8528270152
453	0.8527898035
454	0.8527560973
455	0.8527271769
456	0.8526901217
457	0.852653708
458	0.8526276126
459	0.8525924416
460	0.8525524413
461	0.8525179158
462	0.8524865665
463	0.8524580136
464	0.8524197539
465	0.852371182
466	0.8523142558
467	0.8522733548
468	0.8522398026
469	0.8521957115
470	0.8521692924
471	0.8521302673
472	0.8520884584
473	0.852045302
474	0.8520194955
475	0.8519865928
476	0.8519373023
477	0.8519065905
478	0.8518712596
479	0.8518204125
480	0.8517874973
481	0.8517511697
482	0.8517153546
483	0.8516741995
484	0.8516380952
485	0.8515992596
486	0.8515614444
487	0.8515336169
488	0.8515072946
489	0.8514718151
490	0.8514407931
491	0.8513988628
492	0.8513592295
493	0.8513048537
494	0.8512566387
495	0.851217602
496	0.8511863759
497	0.8511356929
498	0.8510997833
499	0.851060063
500	0.8510353745
501	0.8510057518
502	0.8509704882
503	0.8509430683
504	0.8509114915
505	0.8508625386
506	0.8508183214
507	0.8507673519
508	0.8507354434
509	0.8507043017
510	0.8506752006
511	0.8506531568
512	0.8506148765
513	0.8505872526
514	0.8505551621
515	0.8505163856
516	0.8504966068
517	0.850459656
518	0.8504052238
519	0.8503656074
520	0.850340729
521	0.8503027543
522	0.850271708
523	0.850243371
524	0.850210777
525	0.8501761713
526	0.8501439064
527	0.8501067745
528	0.850076457
529	0.8500430908
530	0.8500061806
531	0.8499620634
532	0.8499331913
533	0.849918555
534	0.8498749548
535	0.8498388125
536	0.8497980566
537	0.8497640731
538	0.8497338545
539	0.8496947123
540	0.8496653204
541	0.8496313479
542	0.8496115772
543	0.8495879426
544	0.8495588847
545	0.8495258973
546	0.8494903912
547	0.849463462
548	0.8494131569
549	0.8493759069
550	0.8493424078
551	0.849306124
552	0.8492620349
553	0.8492172211
554	0.849192039
555	0.849151051
556	0.8491141107
557	0.8490867497
558	0.8490568377
559	0.8490067463
560	0.8489755946
561	0.8489470463
562	0.8489064933
563	0.8488793529
564	0.8488645615
565	0.8488481792
566	0.8488230577
567	0.8487921131
568	0.8487789152
569	0.8487614062
570	0.8487324819
571	0.8487011291
572	0.8486728115
573	0.8486458674
574	0.8486162542
575	0.8485714738
576	0.8485420997
577	0.84851311
578	0.848469575
579	0.8484204512
580	0.8483887646
581	0.8483476436
582	0.8483089865
583	0.8482726092
584	0.8482264925
585	0.8482066087
586	0.8481722007
587	0.8481368479
588	0.8481034979
589	0.8480795807
590	0.848041892
591	0.8480079857
592	0.8479761066
593	0.8479385813
594	0.8478966778
595	0.8478753295
596	0.8478379608
597	0.847807173
598	0.8477758424
599	0.8477547347
600	0.8477235327
601	0.8476990901
602	0.8476698438
603	0.8476381992
604	0.8475991625
605	0.8475675867
606	0.8475389114
607	0.8475111682
608	0.8474759882
609	0.8474419589
610	0.8473990365
611	0.8473722125
612	0.8473345718
613	0.8473096831
614	0.8472850799
615	0.8472594334
616	0.8472275645
617	0.8472040111
618	0.8471717285
619	0.8471486873
620	0.8471193482
621	0.84710196
622	0.847070937
623	0.8470358932
624	0.8470146423
625	0.8469944419
626	0.8469660986
627	0.8469440614
628	0.8469188756
629	0.846888089
630	0.8468509258
631	0.8468213162
632	0.8467885139
633	0.846746685
634	0.8467220043
635	0.846691079
636	0.8466642375
637	0.8466391971
638	0.8466103959
639	0.846583088
640	0.8465566215
641	0.8465247969
642	0.8464973537
643	0.8464755778
644	0.8464440559
645	0.8464233427
646	0.8463910543
647	0.8463637252
648	0.8463145833
649	0.8462774393
650	0.8462413741
651	0.8462200104
652	0.8461922457
653	0.8461692232
654	0.8461309258
655	0.8460945402
656	0.8460696166
657	0.8460433892
658	0.8460100977
659	0.8459923072
660	0.8459715264
661	0.8459346544
662	0.8459155532
663	0.8458806681
664	0.8458577644
665	0.8458284792
666	0.8458039265
667	0.8457849136
668	0.8457549455
669	0.8457330086
670	0.845712185
671	0.8456754386
672	0.8456484167
673	0.8456126454
674	0.8455933727
675	0.8455657539
676	0.8455408455
677	0.8455060543
678	0.8454802251
679	0.8454371551
680	0.8454073733
681	0.8453703303
682	0.8453446991
683	0.8453065535
684	0.8452859897
685	0.845255372
686	0.845234341
687	0.8452010878
688	0.8451729638
689	0.8451390954
690	0.84510964
691	0.8450669054
692	0.8450391858
693	0.8450195557
694	0.8449892515
695	0.8449405437
696	0.8449095737
697	0.8448712624
698	0.8448408749
699	0.8448148857
700	0.8447958514
701	0.8447611992
702	0.8447442356
703	0.8447110596
704	0.844690453
705	0.8446620889
706	0.8446207244
707	0.8445946383
708	0.8445767631
709	0.844530524
710	0.8444961062
711	0.8444668128
712	0.8444340546
713	0.8444092648
714	0.8443835735
715	0.8443584815
716	0.8443237594
717	0.8442991106
718	0.8442583196
719	0.8442258859
720	0.8442037304
721	0.8441741715
722	0.8441472103
723	0.844110868
724	0.8440698766
725	0.8440504018
726	0.8440158542
727	0.8439955589
728	0.8439732374
729	0.843947359
730	0.8439265189
731	0.8439005847
732	0.8438740589
733	0.8438394461
734	0.8438050262
735	0.8437613473
736	0.8437294437
737	0.8436989464
738	0.8436625819
739	0.8436402636
740	0.8436163987
741	0.8435849809
742	0.8435559282
743	0.843528002
744	0.8435051297
745	0.8434866075
746	0.8434670772
747	0.8434467044
748	0.8434228509
749	0.843394893
750	0.8433663542
751	0.8433211445
752	0.8432981138
753	0.8432659679
754	0.8432456821
755	0.843216435
756	0.8431780317
757	0.8431381667
758	0.8431165429
759	0.8430775158
760	0.8430447517
761	0.8430261574
762	0.843000091
763	0.8429771649
764	0.842957131
765	0.8429165331
766	0.8428962431
767	0.8428672846
768	0.8428174757
769	0.8427889655
770	0.8427567767
771	0.8427044559
772	0.8426738474
773	0.8426559064
774	0.8426341983
775	0.842610021
776	0.8425883621
777	0.8425601267
778	0.8425347009
779	0.8425142143
780	0.8424924941
781	0.8424662619
782	0.8424398333
783	0.8424041093
784	0.8423749518
785	0.8423459308
786	0.8422980083
787	0.8422661001
788	0.8422417068
789	0.8422108289
790	0.8421665728
791	0.8421376107
792	0.8421119852
793	0.8420788169
794	0.8420390031
795	0.8420050706
796	0.8419837642
797	0.8419665197
798	0.8419399649
799	0.8419233918
800	0.8419011304
801	0.8418726279
802	0.8418516606
803	0.841828448
804	0.8417956707
805	0.8417690221
806	0.8417412295
807	0.8417231976
808	0.8416898694
809	0.8416624845
810	0.8416284563
811	0.8416068207
812	0.8415887408
813	0.8415449201
814	0.8415177797
815	0.8415002377
816	0.8414547373
817	0.8414233168
818	0.8413978305
819	0.8413782833
820	0.8413493686
821	0.8413322071
822	0.8413021713
823	0.8412768707
824	0.8412376583
825	0.8412067203
826	0.8411914283
827	0.8411573014
828	0.8411334069
829	0.8411102866
830	0.8410717105
831	0.8410557571
832	0.8410228781
833	0.8409935846
834	0.84096951
835	0.8409444873
836	0.8409066067
837	0.8408867075
838	0.8408585757
839	0.8408476226
840	0.8408108226
841	0.8407854021
842	0.8407591041
843	0.8407307849
844	0.8406904755
845	0.8406664909
846	0.8406359418
847	0.8406005247
848	0.8405832596
849	0.8405518095
850	0.840523916
851	0.8404922175
852	0.8404676933
853	0.8404463058
854	0.8404314246
855	0.8404222536
856	0.8403977903
857	0.840367226
858	0.8403314357
859	0.8403102655
860	0.8402859882
861	0.8402540657
862	0.8402308355
863	0.8402096784
864	0.8401911742
865	0.8401755816
866	0.8401643418
867	0.8401372846
868	0.8401133644
869	0.8400980344
870	0.8400670136
871	0.8400341961
872	0.840003577
873	0.839981451
874	0.8399556117
875	0.8399251405
876	0.8399036085
877	0.8398659349
878	0.8398306172
879	0.8398061036
880	0.8397777643
881	0.8397509704
882	0.8397260166
883	0.83971042
884	0.8396751981
885	0.8396501086
886	0.8396319468
887	0.8396081514
888	0.8395846657
889	0.8395562538
890	0.8395417884
891	0.8395194046
892	0.8394932496
893	0.8394611536
894	0.8394418484
895	0.8394092042
896	0.8393852363
897	0.8393525875
898	0.8393290355
899	0.8393066423
900	0.8392723017
901	0.8392492916
902	0.8392207999
903	0.8392007999
904	0.8391866351
905	0.839162799
906	0.8391453529
907	0.8391161676
908	0.8390898933
909	0.8390528313
910	0.8390321462
911	0.8390009526
912	0.8389758923
913	0.8389538468
914	0.8389411242
915	0.8389156663
916	0.8388902051
917	0.8388708496
918	0.8388335906
919	0.8388057514
920	0.8387834327
921	0.8387644461
922	0.8387294087
923	0.8387024567
924	0.8386617441
925	0.8386395172
926	0.8386101674
927	0.8385805707
928	0.838545152
929	0.8385169918
930	0.8384977646
931	0.8384682849
932	0.8384155884
933	0.8383861351
934	0.8383599398
935	0.8383295002
936	0.8383018759
937	0.8382758348
938	0.8382572818
939	0.8382281965
940	0.8382106757
941	0.8381901599
942	0.8381611195
943	0.8381431078
944	0.8381263354
945	0.8381123226
946	0.8380943003
947	0.8380693459
948	0.838052244
949	0.8380153345
950	0.8379907908
951	0.8379710324
952	0.8379552514
953	0.8379289272
954	0.8378907918
955	0.8378650454
956	0.837843362
957	0.8378293153
958	0.8378024728
959	0.8377704552
960	0.8377367604
961	0.8376960728
962	0.8376731948
963	0.8376428821
964	0.8376177298
965	0.8376003892
966	0.837570939
967	0.8375407774
968	0.8375073362
969	0.8374723962
970	0.8374376567
971	0.8374303322
972	0.8374022824
973	0.8373780019
974	0.8373390766
975	0.8373052758
976	0.8372786449
977	0.8372594125
978	0.8372466834
979	0.8372222958
980	0.8371901264
981	0.8371571588
982	0.8371362797
983	0.8371127155
984	0.8370822088
985	0.8370487124
986	0.8370213117
987	0.8369971444
988	0.8369745581
989	0.8369510025
990	0.8369445021
991	0.8368977589
992	0.8368766418
993	0.836846607
994	0.8368241407
995	0.8367913896
996	0.836771615
997	0.8367434009
998	0.8367374988
999	0.836717427
